1.67,2.8,4.0,9,0.8
0.0,0.0,0.0,0.0,1.0
3,3,4,5,1
0.1,0.1,0.3,0.4,1.0
0.9,0.9,1,1,1
0.001,0.002,0.003,0.003,0.02
0.1,0.2,0.3,0.4,1
0.1,0.25,0.25,0.4,1
0.1,0.2,0.3,0.4,1
0.5,0.65,0.65,0.8,1
0.1,0.2,0.3,0.4,1
0.3,0.45,0.45,0.6,1
0.1,0.2,0.3,0.4,1
0.1,0.25,0.25,0.4,0.2
0.1,0.2,0.3,0.4,1
0.5,0.5,0.5,0.5,0.0
0.1,0.2,0.3,0.4,1
0.1,0.2,0.3,0.4,0.8
0.1,0.2,0.3,0.4,1
0.5,0.6,0.7,0.8,1.0
0.1,0.2,0.3,0.4,0.01
0.3,0.3,0.3,0.3,0.4
0.1,0.2,0.3,0.4,0.8
0.2,0.3,0.4,0.5,0.4
0.1,0.2,0.3,0.4,1
0.1,0.2,0.3,0.4,0.0
0.1,0.2,0.3,0.4,0.8
0.2,0.35,0.35,0.5,0.0
0.1,0.2,0.3,0.4,0.0
0.1,0.2,0.3,0.4,0.0
0.1,0.25,0.25,0.4,0.01
0.1,0.25,0.25,0.4,0.0
0.1,0.25,0.25,0.4,0.8
0.3,0.3,0.3,0.3,0.6
0.1,0.25,0.25,0.4,0.8
0.3,0.3,0.3,0.3,0.0
0.1,0.2,0.3,0.4,0.0
0.2,0.35,0.35,0.5,0.0
0.1,0.2,0.3,0.4,0.0
0.3,0.3,0.3,0.3,0.0
0.3,0.3,0.3,0.3,0.0
0.5,0.5,0.5,0.5,0.0
0.4,0.4,0.4,0.4,0.4
0.5,0.5,0.5,0.5,0.2
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.5,0.5,1
0.0,0.0,0.0,0.0,1
0.1,0.2,0.3,0.4,0.6,0.8
0.1,0.2,0.3,0.4,0.8,0.6
0.2,0.2,0.2,0.2,1.0
0.3,0.3,0.3,0.3,1.0
0.0,0.225,0.225,0.45,0.15
0.675,0.675,0.675,0.675,0.15
0.5,0.5,0.5,0.5,1.0
0,0,0,0,1.0
0.5,0.5,0.5,0.5,1.0
1,1,1,1,1
0.4,0.4,0.5,0.5,1.0
0.6,0.6,0.9,0.9,1.0
0.4,0.4,0.5,0.5,1.0
0.7,0.7,0.8,0.8,1.0
1,1,1,1,0
0.001,0.001,0.001,0.001,0
1,1,1,1,1
0.001,0.001,0.001,0.001,1
0.1,0.2,0.3,0.4,0.5
0.1,0.2,0.3,0.4,0.1,0.2
0.1,0.2,0.3,0.4,0.1,0.2
0.1,0.2,0.3,0.4,0.9,1
